ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)|RH
1712|-200|Winter|832.0|598.0|0.71875|-200.0|-200.0|1122.0|-200.0|912.0|537.0|46,0
1713|2,5|Summer|1067.0|1106.0|1.0365510777881912|-200.0|143.0|745.0|107.0|1840.0|1125.0|43,4
1714|1,8|Fall|1117.0|871.0|0.7797672336615935|-200.0|182.0|781.0|94.0|1320.0|986.0|57,0
1715|2,2|Spring|1328.0|1123.0|0.8456325301204819|-200.0|466.0|508.0|182.0|1404.0|1339.0|31,8
1716|-200|Fall|733.0|574.0|0.7830832196452933|-200.0|-200.0|1238.0|-200.0|964.0|627.0|73,1
1717|1,3|Fall|1019.0|901.0|0.8842001962708538|-200.0|231.0|750.0|64.0|1438.0|960.0|70,1
1718|2,3|Spring|1318.0|1033.0|0.783763277693475|141.0|143.0|950.0|99.0|1675.0|1068.0|29,4
1719|3,4|Spring|1541.0|1185.0|0.7689811810512654|218.0|263.0|770.0|97.0|1889.0|1407.0|63,7
1720|4,5|Fall|1326.0|1356.0|1.0226244343891402|-200.0|448.0|525.0|95.0|1966.0|1405.0|61,4
1721||Fall||||||||||
1722|3,3|Fall|1247.0|1206.0|0.967121090617482|-200.0|313.0|600.0|148.0|1785.0|1233.0|48,7
1723|2,8|Winter|1312.0|998.0|0.760670731707317|-200.0|474.0|640.0|167.0|1249.0|1473.0|43,1
1724|0,8|Fall|891.0|633.0|0.7104377104377104|-200.0|-200.0|1035.0|-200.0|1137.0|590.0|60,1
1725|3,4|Spring|1304.0|1212.0|0.9294478527607362|-200.0|444.0|476.0|183.0|1585.0|1383.0|39,1
1726|1,5|Winter||725.0|0.7171117705242335|-200.0|189.0|852.0|142.0|1050.0|773.0|78,2
1727|2,4|Winter|1256.0|1056.0|0.8407643312101911|-200.0|469.0|582.0|138.0|1230.0|1575.0|63,9
1728|3,9|Fall|1119.0|1233.0|1.1018766756032172|-200.0|407.0|670.0|148.0|1539.0|1270.0|29,2
1729|1,4|Spring|962.0|776.0|0.8066528066528067|155.0|102.0|1131.0|81.0|1247.0|535.0|26,1
1730|-200|Summer|883.0|782.0|0.8856172140430351|-200.0|-200.0|958.0|-200.0|1395.0|571.0|31,0
1731|0,9|Fall|1061.0|785.0|0.7398680490103676|-200.0|-200.0|766.0|-200.0|1447.0|935.0|64,4
1732|1,0|Winter|937.0|694.0|0.7406616862326574|-200.0|194.0|915.0|81.0|1054.0|817.0|79,7
1733|1,0|Winter|812.0|646.0|0.7955665024630542|-200.0|156.0|1045.0|110.0|731.0|421.0|35,0
1734|1,5|Summer|1016.0|896.0|0.8818897637795275|-200.0|91.0|766.0|93.0|1704.0|820.0|35,1
1735|1,5|Spring|1014.0|798.0|0.7869822485207101|104.0|99.0|1083.0|106.0|1376.0|909.0|56,1
1736|1,2|Summer|1019.0|842.0|0.8263002944062807|-200.0|70.0|935.0|73.0|1565.0|729.0|20,5
1737|1|Summer|919.0|807.0|0.8781284004352558|-200.0|48.0|967.0|66.0|1598.0|775.0|52,8
1738|6,8|Winter|1523.0|1533.0|1.0065659881812212|-200.0|984.0|456.0|282.0|1532.0|2214.0|36,8
1739|-200|Spring||602.0|0.7008149010477299|35.0|24.0|1209.0|40.0|1321.0|644.0|56,2
1740|-200|Summer|1322.0|1250.0|0.9455370650529501|-200.0|160.0|562.0|102.0|1999.0|1556.0|46,4
1741|1,2|Spring|949.0|700.0|0.7376185458377239|80.0|78.0|1221.0|90.0|1178.0|553.0|34,4
1742|1,5|Spring|1128.0|891.0|0.7898936170212766|117.0|88.0|838.0|89.0|1574.0|1125.0|55,6
1743|-200|Summer|1030.0|848.0|0.8233009708737864|-200.0|77.0|734.0|71.0|1691.0|1048.0|74,1
1744|-200|Summer|951.0|892.0|0.9379600420609885|-200.0|-200.0|1015.0|-200.0|1611.0|786.0|43,1
1745|-200|Summer|949.0|705.0|0.7428872497365648|-200.0|-200.0|859.0|-200.0|1460.0|691.0|51,8
1746|2,7|Fall|1214.0|922.0|0.7594728171334432|-200.0|326.0|741.0|117.0|1273.0|1124.0|63,3
1747|0,7|Summer||674.0|0.8320987654320988|-200.0|32.0|976.0|45.0|1530.0|793.0|58,6
1748|-200|Fall|1089.0|873.0|0.8016528925619835|-200.0|-200.0|741.0|-200.0|1479.0|990.0|64,4
1749|-200,0|Winter|800.0|492.0|0.615|-200.0|90.0|1310.0|71.0|783.0|353.0|49,0
1750|2,9|Fall|1347.0|1165.0|0.8648849294729027|-200.0|315.0|573.0|97.0|1741.0|1321.0|70,1
1751|4|Fall|1439.0|1267.0|0.8804725503822098|-200.0|854.0|522.0|179.0|1586.0|1852.0|57,0
1752|1,3|Spring|1071.0|1110.0|1.0364145658263306|-200.0|124.0|864.0|121.0|1733.0|847.0|26,2
1753|4,8|Winter|1541.0|1353.0|0.8780012978585334|-200.0|966.0|449.0|198.0|1492.0|2112.0|61,7
1754|2,4|Summer|-200.0|-200.0|1.0|-200.0|201.0|-200.0|68.0|-200.0|-200.0|-200
1755|0,5|Fall|826.0|612.0|0.7409200968523002|-200.0|-200.0|1111.0|-200.0|1304.0|605.0|65,3
1756|1,7|Winter|1037.0|771.0|0.7434908389585342|-200.0|233.0|784.0|122.0|1004.0|1029.0|75,1
1757|2,4|Summer|1157.0|1105.0|0.9550561797752809|-200.0|139.0|779.0|139.0|1792.0|982.0|18,8
1758|2,4|Fall|1067.0|1013.0|0.9493908153701968|-200.0|330.0|794.0|97.0|1350.0|1133.0|43,0
1759|1,1|Fall|906.0|637.0|0.7030905077262694|-200.0|166.0|1024.0|81.0|1070.0|761.0|76,6
1760|2,5|Winter|1160.0|990.0|0.853448275862069|-200.0|403.0|632.0|238.0|1254.0|1090.0|78,2
1761|0,8|Summer|824.0|708.0|0.8592233009708737|-200.0|61.0|1091.0|67.0|1256.0|463.0|17,8
1762|2,6|Summer|1238.0|1144.0|0.9240710823909531|-200.0|188.0|565.0|81.0|1939.0|1433.0|48,5
1763|3,7|Summer|1317.0|1338.0|1.0159453302961277|-200.0|200.0|593.0|198.0|2132.0|1362.0|26,9
1764|2,3|Winter|1183.0|929.0|0.7852916314454776|-200.0|433.0|675.0|246.0|1037.0|1309.0|49,5
1765|1,3|Winter||736.0|0.7215686274509804|-200.0|213.0|854.0|93.0|1069.0|923.0|68,0
1766|-200|Spring||1193.0|0.9867659222497932|-200.0|-200.0|753.0|-200.0|1737.0|1310.0|39,5
1767|-200|Summer|918.0|860.0|0.9368191721132898|-200.0|74.0|807.0|72.0|1488.0|943.0|41,2
1768|0,7|Spring|840.0|556.0|0.6619047619047619|31.0|41.0|1474.0|58.0|1094.0|366.0|38,3
1769|1,1|Fall|991.0|759.0|0.7658930373360242|-200.0|-200.0|845.0|-200.0|1440.0|658.0|61,3
1770|8,7|Winter|1704.0|1689.0|0.9911971830985915|-200.0|1070.0|402.0|242.0|1820.0|2480.0|50,3
1771|1,9|Fall|1132.0|1002.0|0.8851590106007067|-200.0|255.0|640.0|76.0|1474.0|1126.0|67,5
1772|2,4|Winter|1120.0|935.0|0.8348214285714286|-200.0|275.0|744.0|93.0|1385.0|922.0|78,4
1773|0,8|Fall|1049.0|864.0|0.8236415633937083|-200.0|267.0|818.0|145.0|1010.0|1327.0|47,8
1774|1,3|Spring|1017.0|818.0|0.8043264503441495|-200.0|254.0|842.0|156.0|1034.0|933.0|54,5
1775|1,9|Winter|1134.0|912.0|0.8042328042328042|-200.0|336.0|707.0|182.0|999.0|1376.0|40,1
1776|0,7|Winter|831.0|543.0|0.6534296028880866|-200.0|100.0|1132.0|88.0|787.0|737.0|53,3
1777|5|Summer|1257.0|1495.0|1.1893396976929196|-200.0|379.0|524.0|129.0|2245.0|1647.0|48,8
1778|0,8|Summer|-200.0|-200.0|1.0|-200.0|44.0|-200.0|55.0|-200.0|-200.0|-200
1779|0,8|Summer|915.0|690.0|0.7540983606557377|-200.0|-200.0|983.0|-200.0|1570.0|743.0|57,7
1780|1,2|Fall|1029.0|880.0|0.8551992225461613|-200.0|182.0|709.0|47.0|1451.0|965.0|78,4
1781|2,5|Winter|1210.0|1000.0|0.8264462809917356|-200.0|439.0|679.0|115.0|1456.0|1062.0|79,9
1782|-200|Summer|1022.0|890.0|0.8708414872798435|-200.0|-200.0|803.0|-200.0|1499.0|862.0|23,1
1783|0,9|Spring||858.0|0.8790983606557377|-200.0|104.0|1070.0|102.0|1547.0|839.0|47,6
1784|1,4|Spring|1066.0|802.0|0.7523452157598499|-200.0|172.0|689.0|117.0|1282.0|1090.0|61,9
1785|1,8|Winter|1086.0|850.0|0.7826887661141805|-200.0|233.0|723.0|143.0|1072.0|901.0|45,5
1786|-200|Spring|746.0|450.0|0.6032171581769437|-200.0|-200.0|1807.0|-200.0|1111.0|308.0|42,3
1787|3,4|Spring|1483.0|1222.0|0.8240053944706676|-200.0|318.0|597.0|109.0|2054.0|1529.0|68,9
1788|0,8|Spring|899.0|631.0|0.7018909899888766|-200.0|145.0|955.0|103.0|884.0|505.0|33,3
1789|2,3|Fall|1226.0|1080.0|0.8809135399673735|-200.0|-200.0|622.0|-200.0|1697.0|1188.0|27,1
1790|2,6|Winter|1048.0|847.0|0.808206106870229|-200.0|324.0|801.0|181.0|955.0|888.0|43,5
1791|3,7|Winter|1361.0|1223.0|0.8986039676708303|-200.0|640.0|525.0|182.0|1454.0|1648.0|66,3
1792|1,6|Spring|1124.0|853.0|0.7588967971530249|163.0|149.0|960.0|99.0|1531.0|873.0|68,7
1793|0,8|Spring|930.0|609.0|0.6548387096774193|-200.0|120.0|968.0|90.0|864.0|928.0|50,1
1794|2,4|Summer||1183.0|1.0224719101123596|-200.0|133.0|738.0|111.0|1970.0|1079.0|37,9
1795|1,4|Summer|1009.0|921.0|0.9127849355797819|-200.0|76.0|778.0|99.0|1635.0|692.0|25,6
1796|0,5|Winter|1322.0|1091.0|0.8252647503782148|-200.0|574.0|565.0|193.0|1307.0|1471.0|80,4
1797|1,6|Spring|1106.0|728.0|0.6582278481012658|-200.0|221.0|722.0|111.0|1309.0|885.0|78,6
1798|1,9|Winter|1067.0|879.0|0.823805060918463|-200.0|291.0|740.0|194.0|989.0|996.0|33,9
1799|1,7|Summer|-200.0|-200.0|1.0|-200.0|82.0|-200.0|95.0|-200.0|-200.0|-200
1800|1,6|Fall|989.0|900.0|0.910010111223458|-200.0|231.0|737.0|60.0|1401.0|968.0|74,9
1801|-200|Winter|865.0|697.0|0.8057803468208092|-200.0|-200.0|1002.0|-200.0|883.0|589.0|30,6
1802|-200|Summer|1028.0|1146.0|1.1147859922178989|-200.0|-200.0|638.0|-200.0|1766.0|1080.0|49,1
1803|2,6|Spring||1097.0|0.876898481215028|-200.0|306.0|502.0|151.0|1541.0|1328.0|61,5
1804|1,1|Spring|1018.0|790.0|0.7760314341846758|-200.0|69.0|1047.0|67.0|1443.0|580.0|28,1
1805|3,4|Spring|1343.0|1185.0|0.8823529411764706|340.0|237.0|760.0|132.0|1857.0|1311.0|62,9
1806|2,7|Fall|992.0|987.0|0.9949596774193549|-200.0|234.0|823.0|95.0|1327.0|781.0|27,0
1807|1,2|Spring|1072.0|784.0|0.7313432835820896|47.0|95.0|1066.0|90.0|1442.0|1114.0|51,9
1808|3,1|Winter|1310.0|1082.0|0.8259541984732824|-200.0|621.0|555.0|267.0|1400.0|1254.0|82,5
1809|1,5|Winter|1114.0|757.0|0.6795332136445242|-200.0|212.0|744.0|107.0|1204.0|1070.0|66,8
1810|1,9|Summer|1081.0|1025.0|0.9481961147086031|-200.0|104.0|738.0|103.0|1757.0|1059.0|36,8
1811|3,8|Winter|1432.0|1195.0|0.8344972067039106|-200.0|625.0|509.0|180.0|1513.0|1651.0|56,2
1812|-200|Summer|861.0|746.0|0.8664343786295006|-200.0|-200.0|911.0|-200.0|1448.0|771.0|56,4
1813|1,6|Spring|994.0|851.0|0.8561368209255533|143.0|95.0|1018.0|75.0|1436.0|640.0|30,7
1814|1,3|Winter|960.0|704.0|0.7333333333333333|-200.0|226.0|887.0|106.0|1003.0|947.0|68,2
1815|1,1|Spring|893.0|703.0|0.7872340425531915|66.0|55.0|1192.0|57.0|1283.0|515.0|44,9
1816|-200|Summer|922.0|874.0|0.9479392624728851|-200.0|-200.0|851.0|-200.0|1447.0|663.0|28,2
1817|3,8|Summer|1152.0|1355.0|1.1762152777777777|-200.0|245.0|628.0|175.0|1879.0|1620.0|22,7
1818|1,0|Winter|839.0|608.0|0.7246722288438617|-200.0|191.0|1040.0|115.0|780.0|475.0|45,2
1819|4,3|Spring|1505.0|1358.0|0.9023255813953488|-200.0|258.0|556.0|113.0|2248.0|1406.0|79,2
1820|2,7|Spring|1210.0|1062.0|0.8776859504132232|219.0|165.0|886.0|125.0|1586.0|981.0|36,1
1821|4,2|Fall|1440.0|1312.0|0.9111111111111111|-200.0|760.0|537.0|120.0|1657.0|1515.0|80,8
1822|1,5|Summer|922.0|878.0|0.9522776572668112|-200.0|60.0|880.0|70.0|1363.0|615.0|16,2
1823|1,4|Winter|1025.0|794.0|0.7746341463414634|-200.0|199.0|848.0|101.0|1202.0|788.0|70,5
1824|1,3|Winter|1112.0|791.0|0.7113309352517986|-200.0|218.0|764.0|118.0|1216.0|934.0|64,2
1825|-200|Fall|951.0|835.0|0.8780231335436383|-200.0|-200.0|788.0|-200.0|1354.0|887.0|76,7
1826|2,2|Spring|1034.0|935.0|0.9042553191489362|-200.0|122.0|870.0|98.0|1605.0|941.0|65,8
1827|1,9|Spring|1217.0|921.0|0.7567789646672145|-200.0|257.0|589.0|154.0|1336.0|1261.0|63,8
1828|3|Summer|1307.0|1270.0|0.9716908951798011|-200.0|240.0|516.0|84.0|2191.0|1404.0|74,9
1829|3,8|Fall|1310.0|1334.0|1.0183206106870228|-200.0|617.0|573.0|174.0|1747.0|1633.0|38,8
1830|-200|Fall|1335.0|1137.0|0.851685393258427|-200.0|-200.0|563.0|-200.0|1729.0|1293.0|46,0
1831|2|Summer|1095.0|996.0|0.9095890410958904|-200.0|111.0|799.0|120.0|1695.0|934.0|27,7
1832|2,4|Summer|981.0|1054.0|1.0744138634046891|-200.0|176.0|768.0|120.0|1592.0|1135.0|28,6
1833|3,7|Summer|1211.0|1290.0|1.06523534269199|-200.0|311.0|606.0|156.0|1913.0|1643.0|36,4
1834|-200|Fall|912.0|690.0|0.756578947368421|-200.0|-200.0|984.0|-200.0|1309.0|574.0|75,5
1835|-200|Fall||1124.0|0.951735817104149|-200.0|-200.0|597.0|-200.0|1606.0|1302.0|65,9
1836|4,2|Winter|-200.0|-200.0|1.0|-200.0|845.0|-200.0|190.0|-200.0|-200.0|-200
1837|-200|Spring|1320.0|1085.0|0.821969696969697|-200.0|-200.0|730.0|-200.0|1689.0|1440.0|49,7
1838|-200|Summer|884.0|729.0|0.8246606334841629|-200.0|-200.0|920.0|-200.0|1389.0|837.0|45,7
1839|1,0|Winter|1007.0|884.0|0.8778550148957299|-200.0|278.0|780.0|163.0|1014.0|951.0|38,1
1840|3,8|Summer|1125.0|1279.0|1.1368888888888888|-200.0|241.0|662.0|154.0|1840.0|1256.0|20,1
1841|-200|Fall|-200.0|-200.0|1.0|-200.0|-200.0|-200.0|-200.0|-200.0|-200.0|-200
1842|1,7|Summer|1027.0|936.0|0.9113924050632911|-200.0|152.0|867.0|117.0|1696.0|931.0|38,3
1843|2,6|Fall|1215.0|1150.0|0.9465020576131687|-200.0|282.0|608.0|118.0|1733.0|1115.0|37,2
1844|-200|Summer|768.0|591.0|0.76953125|-200.0|24.0|1183.0|37.0|1402.0|606.0|50,3
1845|1,3|Spring|931.0|739.0|0.7937701396348013|64.0|83.0|1274.0|74.0|1219.0|474.0|24,1
1846|-200|Spring|997.0|788.0|0.7903711133400201|-200.0|-200.0|1014.0|-200.0|1482.0|644.0|53,2
1847|0,5|Spring|909.0|567.0|0.6237623762376238|26.0|33.0|1542.0|47.0|1287.0|418.0|75,4
1848|0,7|Spring|1003.0|820.0|0.8175473579262214|-200.0|-200.0|902.0|-200.0|1455.0|908.0|46,3
1849|3,6|Winter|1428.0|1288.0|0.9019607843137255|-200.0|487.0|465.0|146.0|1580.0|1629.0|61,8
1850|3,2|Summer|1274.0|1197.0|0.9395604395604396|-200.0|192.0|626.0|120.0|2023.0|1356.0|47,1
1851|1,3|Spring||826.0|0.8533057851239669|-200.0|197.0|867.0|132.0|898.0|548.0|10,4
1852|2,8|Winter|1330.0|1063.0|0.7992481203007519|-200.0|488.0|578.0|169.0|1419.0|1352.0|60,1
1853|1,8|Spring|1032.0|892.0|0.8643410852713178|166.0|101.0|973.0|87.0|1457.0|756.0|30,0
1854|1,6|Summer|964.0|959.0|0.9948132780082988|-200.0|96.0|787.0|115.0|1438.0|731.0|17,9
1855|1,2|Summer|945.0|755.0|0.798941798941799|-200.0|50.0|935.0|68.0|1553.0|663.0|48,0
1856|1,5|Summer|846.0|930.0|1.099290780141844|-200.0|89.0|947.0|104.0|1467.0|598.0|18,0
1857|2,7|Winter|1207.0|1023.0|0.8475559237779619|-200.0|473.0|629.0|188.0|1233.0|1373.0|62,4
1858|2|Fall|997.0|955.0|0.9578736208625878|-200.0|214.0|845.0|94.0|1528.0|926.0|55,2
1859|2,1|Spring|1098.0|971.0|0.8843351548269581|227.0|145.0|877.0|103.0|1527.0|966.0|40,5
1860|1,1|Winter|996.0|698.0|0.7008032128514057|-200.0|153.0|871.0|123.0|894.0|1228.0|50,1
1861|-200|Fall|1134.0|914.0|0.8059964726631393|-200.0|-200.0|699.0|-200.0|1512.0|1097.0|63,4
1862|0,6|Summer|815.0|616.0|0.7558282208588957|-200.0|21.0|1080.0|29.0|1532.0|596.0|61,3
1863|0,8|Winter|839.0|536.0|0.6388557806912991|-200.0|69.0|1229.0|60.0|970.0|600.0|65,9
1864|3,9|Spring|1463.0|1383.0|0.9453178400546821|-200.0|545.0|440.0|181.0|1636.0|1727.0|25,5
1865|4,8|Summer|1355.0|1526.0|1.12619926199262|-200.0|333.0|567.0|134.0|2397.0|1658.0|42,7
1866|1|Winter|857.0|605.0|0.705950991831972|-200.0|115.0|1094.0|64.0|1071.0|636.0|62,9
1867|6,6|Spring|1843.0|1610.0|0.8735756918068367|488.0|340.0|624.0|170.0|2390.0|1887.0|50,5
1868|-200|Fall|1087.0|964.0|0.8868445262189513|-200.0|-200.0|774.0|-200.0|1633.0|1103.0|59,4
1869|5,5|Winter|1179.0|1390.0|1.1789652247667515|-200.0|755.0|567.0|198.0|1453.0|1459.0|38,1
1870|0,2|Summer|854.0|553.0|0.6475409836065574|-200.0|2.0|1203.0|5.0|1418.0|396.0|61,8
1871|1,5|Spring|976.0|731.0|0.7489754098360656|-200.0|156.0|787.0|118.0|1095.0|622.0|47,3
1872|0,4|Winter|873.0|485.0|0.5555555555555556|-200.0|78.0|1305.0|67.0|1083.0|512.0|80,7
1873|0,4|Spring|878.0|784.0|0.8929384965831435|-200.0|46.0|1181.0|64.0|1407.0|610.0|36,9
1874|3,6|Spring|1358.0|1144.0|0.8424153166421208|-200.0|184.0|727.0|115.0|1851.0|1243.0|57,6
1875|1,3|Winter|909.0|709.0|0.7799779977997799|-200.0|206.0|936.0|95.0|953.0|921.0|64,6
1876|0,9|Summer|954.0|879.0|0.9213836477987422|-200.0|78.0|837.0|82.0|1550.0|834.0|44,0
1877|1,4|Spring|912.0|731.0|0.8015350877192983|-200.0|339.0|912.0|162.0|811.0|684.0|27,7
1878|2,7|Fall|1303.0|1198.0|0.9194167306216423|-200.0|332.0|578.0|83.0|1791.0|1235.0|64,8
1879|6,6|Fall|1549.0|1553.0|1.0025823111684957|-200.0|1148.0|446.0|288.0|1796.0|2032.0|55,1
1880|2,2|Spring|1376.0|948.0|0.688953488372093|80.0|172.0|1092.0|122.0|1584.0|1203.0|60,0
1881|2,1|Spring|1333.0|989.0|0.7419354838709677|-200.0|129.0|885.0|121.0|1621.0|1194.0|57,8
1882|5,1|Fall|1427.0|1458.0|1.0217238962859145|-200.0|479.0|507.0|213.0|2049.0|1566.0|39,0
1883|0,6|Summer|865.0|752.0|0.869364161849711|-200.0|65.0|996.0|64.0|1451.0|837.0|42,3
1884|2|Spring|1167.0|1128.0|0.9665809768637532|190.0|104.0|829.0|89.0|1716.0|1040.0|25,5
1885|0,9|Fall|866.0|734.0|0.8475750577367206|-200.0|109.0|899.0|45.0|1299.0|770.0|78,7
1886|3,6|Summer|1397.0|1346.0|0.9634931997136722|-200.0|228.0|580.0|165.0|2017.0|1837.0|27,8
1887|2|Fall|1109.0|951.0|0.8575293056807936|-200.0|210.0|664.0|77.0|1570.0|1076.0|71,7
1888|2,3|Spring|1137.0|985.0|0.8663148636763413|-200.0|171.0|858.0|118.0|1607.0|1045.0|42,6
1889|2,3|Winter|1142.0|866.0|0.7583187390542907|-200.0|348.0|815.0|107.0|1329.0|939.0|77,3
1890|1|Fall|870.0|550.0|0.632183908045977|-200.0|68.0|1126.0|45.0|1078.0|515.0|55,9
1891|1,1|Spring||621.0|0.7647783251231527|-200.0|152.0|1143.0|110.0|669.0|529.0|31,9
1892|3,9|Fall|1448.0|1283.0|0.886049723756906|-200.0|461.0|496.0|109.0|1877.0|1504.0|68,3
1893|-200|Summer|1263.0|1283.0|1.0158353127474267|-200.0|193.0|610.0|174.0|1863.0|1400.0|24,2
1894|1,9|Fall|1096.0|921.0|0.8403284671532847|-200.0|-200.0|716.0|-200.0|1534.0|988.0|45,4
1895|2,5|Spring|1153.0|1066.0|0.9245446660884649|279.0|135.0|811.0|122.0|1651.0|1194.0|37,8
1896|0,6|Summer|810.0|664.0|0.8197530864197531|-200.0|11.0|1123.0|17.0|1312.0|478.0|20,5
1897|0,5|Summer|891.0|691.0|0.7755331088664422|-200.0|-200.0|941.0|-200.0|1553.0|629.0|58,7
1898|1,6|Fall|990.0|956.0|0.9656565656565657|-200.0|216.0|872.0|82.0|1476.0|826.0|43,2
1899|1|Fall|921.0|666.0|0.7231270358306189|-200.0|-200.0|954.0|-200.0|1288.0|480.0|40,1
1900|1,7|Spring|1201.0|882.0|0.7343880099916736|-200.0|198.0|638.0|102.0|1189.0|948.0|34,1
1901|-200|Summer|864.0|617.0|0.7141203703703703|-200.0|15.0|1027.0|25.0|1561.0|622.0|61,0
1902|0,6|Winter|945.0|569.0|0.6021164021164022|-200.0|136.0|1140.0|90.0|1135.0|632.0|81,8
1903|2,6|Winter|1099.0|994.0|0.9044585987261147|-200.0|401.0|715.0|117.0|1164.0|1186.0|57,8
1904|-200|Summer|1264.0|1244.0|0.9841772151898734|-200.0|235.0|584.0|167.0|1972.0|1496.0|32,6
1905|0,7|Summer|874.0|686.0|0.7848970251716247|-200.0|36.0|1032.0|48.0|1402.0|501.0|20,3
1906|3|Fall|1203.0|988.0|0.8212801330008312|-200.0|412.0|658.0|113.0|1350.0|1315.0|78,4
1907|2,3|Spring|1076.0|1034.0|0.9609665427509294|451.0|150.0|964.0|101.0|1544.0|813.0|24,2
1908|-200|Spring|1366.0|997.0|0.7298682284040996|-200.0|-200.0|830.0|-200.0|1673.0|1041.0|48,9
1909|-200|Summer|809.0|701.0|0.8665018541409147|-200.0|-200.0|997.0|-200.0|1384.0|649.0|51,6
1910||Fall||||||||||
1911|2,3|Winter|1182.0|947.0|0.8011844331641286|-200.0|333.0|643.0|144.0|1334.0|1210.0|64,5
1912|1,3|Summer|-200.0|-200.0|1.0|-200.0|81.0|-200.0|71.0|-200.0|-200.0|-200
1913|5,1|Spring|1667.0|1453.0|0.871625674865027|-200.0|276.0|684.0|176.0|2051.0|1569.0|36,2
1914|2|Spring|1159.0|976.0|0.8421052631578947|167.0|138.0|837.0|76.0|1663.0|1098.0|64,0
1915|0,9|Spring|1041.0|683.0|0.6560999039385207|60.0|73.0|1112.0|69.0|1398.0|899.0|59,6
1916|2,1|Summer|940.0|1063.0|1.1308510638297873|-200.0|176.0|848.0|113.0|1539.0|929.0|13,8
1917|2,3|Summer|1112.0|1058.0|0.9514388489208633|-200.0|190.0|654.0|137.0|1695.0|1297.0|40,7
1918|1,4|Winter|1203.0|870.0|0.7231920199501247|-200.0|274.0|641.0|156.0|1103.0|1427.0|67,6
1919|0,9|Fall|872.0|718.0|0.823394495412844|-200.0|106.0|981.0|71.0|1223.0|872.0|56,8
1920|-200|Summer|1157.0|1082.0|0.9351771823681936|-200.0|125.0|631.0|114.0|1854.0|907.0|37,5
1921|3,7|Spring|1525.0|1246.0|0.8170491803278689|242.0|202.0|821.0|145.0|1847.0|1448.0|43,4
1922|1,7|Spring|1074.0|832.0|0.7746741154562383|102.0|101.0|951.0|75.0|1507.0|980.0|69,8
1923|-200|Spring|968.0|785.0|0.8109504132231405|-200.0|-200.0|1011.0|-200.0|1446.0|550.0|44,4
1924|-200|Summer|1077.0|1025.0|0.9517177344475395|-200.0|-200.0|629.0|-200.0|1677.0|772.0|38,4
1925|-200|Winter|925.0|598.0|0.6464864864864864|-200.0|-200.0|978.0|-200.0|1079.0|662.0|76,5
1926|-200|Fall|740.0|506.0|0.6837837837837838|-200.0|-200.0|1333.0|-200.0|1074.0|469.0|56,4
1927|0,1|Fall|897.0|722.0|0.8049052396878483|-200.0|201.0|987.0|108.0|953.0|959.0|57,9
1928|-200|Summer|893.0|881.0|0.986562150055991|-200.0|-200.0|810.0|-200.0|1486.0|792.0|48,6
1929|2,2|Spring|1236.0|962.0|0.7783171521035599|272.0|117.0|853.0|101.0|1532.0|928.0|40,4
1930|-200|Fall|1707.0|1637.0|0.9589923842999414|-200.0|-200.0|411.0|-200.0|2338.0|1848.0|54,3
1931|3,1|Winter|1302.0|1169.0|0.8978494623655914|-200.0|495.0|544.0|139.0|1636.0|1605.0|70,3
1932|5,4|Winter|-200.0|-200.0|1.0|-200.0|723.0|-200.0|251.0|-200.0|-200.0|-200
1933|0,6|Summer|857.0|661.0|0.7712952158693116|-200.0|40.0|1083.0|50.0|1511.0|696.0|50,8
1934|1,4|Summer|939.0|849.0|0.9041533546325878|-200.0|72.0|804.0|83.0|1479.0|650.0|37,3
1935|1,2|Spring|1160.0|770.0|0.6637931034482759|-200.0|212.0|702.0|121.0|1063.0|1447.0|74,1
1936|3,4|Winter|1303.0|1226.0|0.9409056024558711|-200.0|538.0|521.0|173.0|1554.0|1457.0|54,0
1937|-200|Summer|904.0|845.0|0.9347345132743363|-200.0|-200.0|878.0|-200.0|1483.0|775.0|44,7
1938|-200|Summer|854.0|604.0|0.7072599531615925|-200.0|-200.0|1090.0|-200.0|1317.0|625.0|38,6
1939|1,6|Summer|1125.0|963.0|0.856|-200.0|62.0|713.0|70.0|1719.0|1179.0|46,1
1940|1,7|Spring|1138.0|898.0|0.789103690685413|118.0|136.0|950.0|88.0|1505.0|966.0|44,3
1941|2,5|Spring||907.0|0.8359447004608295|204.0|133.0|976.0|101.0|1419.0|893.0|34,0
1942|-200|Summer|968.0|805.0|0.8316115702479339|-200.0|-200.0|875.0|-200.0|1391.0|649.0|21,3
1943|4,6|Fall|1467.0|1477.0|1.0068166325835037|-200.0|483.0|491.0|153.0|2114.0|1592.0|48,7
1944|0,4|Winter|818.0|463.0|0.5660146699266504|-200.0|33.0|1509.0|29.0|1046.0|437.0|68,5
1945|3,8|Winter|-200.0|-200.0|1.0|-200.0|498.0|-200.0|173.0|-200.0|-200.0|-200
1946|3,3|Winter|1253.0|1179.0|0.9409417398244214|-200.0|421.0|573.0|210.0|1268.0|1387.0|39,0
1947|1,1|Summer|980.0|793.0|0.8091836734693878|-200.0|32.0|858.0|43.0|1549.0|654.0|27,7
