ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)
252|0,3|Fall|901.0|767.0|0.8512763596004439|-200.0|-200.0|961.0|-200.0|944.0|965.0
253|-200|Summer|711.0|640.0|0.90014064697609|-200.0|-200.0|1224.0|-200.0|1084.0|391.0
254|4,6|Fall|1277.0|1335.0|1.0454189506656226|-200.0|586.0|551.0|182.0|1636.0|1331.0
255|-200|Spring|1057.0|768.0|0.7265846736045412|-200.0|-200.0|958.0|-200.0|1527.0|884.0
256|-200|Summer|892.0|889.0|0.9966367713004485|-200.0|87.0|909.0|92.0|1383.0|597.0
257|0,2|Winter|879.0|687.0|0.7815699658703071|-200.0|167.0|980.0|107.0|914.0|564.0
258|-200|Spring|1150.0|1161.0|1.0095652173913043|-200.0|-200.0|867.0|-200.0|1512.0|1038.0
259|5|Spring|1529.0|1497.0|0.9790712884238064|836.0|275.0|569.0|99.0|2278.0|1641.0
260|6,3|Spring|1650.0|1649.0|0.9993939393939394|-200.0|266.0|528.0|158.0|2345.0|1779.0
261|0,4|Spring|1152.0|759.0|0.6588541666666666|-200.0|234.0|706.0|147.0|1113.0|1094.0
262|0,5|Spring|913.0|525.0|0.5750273822562979|-200.0|18.0|1620.0|28.0|1260.0|370.0
263|2,1|Winter|-200.0|-200.0|1.0|-200.0|215.0|-200.0|148.0|-200.0|-200.0
264|8,7|Winter|1615.0|1712.0|1.060061919504644|-200.0|1230.0|384.0|225.0|1811.0|2312.0
265|2,2|Winter|1243.0|924.0|0.7433628318584071|-200.0|274.0|648.0|119.0|1250.0|1534.0
266|1,7|Winter|1120.0|826.0|0.7375|-200.0|242.0|750.0|127.0|1222.0|974.0
267|5,6|Fall|1446.0|1374.0|0.950207468879668|-200.0|1195.0|499.0|282.0|1560.0|1818.0
268|1,4|Fall|857.0|813.0|0.9486581096849475|-200.0|51.0|1040.0|14.0|1183.0|622.0
269|2,6|Winter|1055.0|783.0|0.7421800947867299|-200.0|221.0|805.0|137.0|969.0|1167.0
270|0,6|Fall|811.0|559.0|0.689272503082614|-200.0|71.0|1170.0|50.0|1085.0|558.0
271|3,6|Fall|1352.0|1231.0|0.9105029585798816|-200.0|726.0|538.0|110.0|1605.0|1530.0
272|2,5|Fall|1298.0|1017.0|0.7835130970724191|-200.0|398.0|727.0|110.0|1418.0|1193.0
273|0,9|Winter|856.0|654.0|0.764018691588785|-200.0|-200.0|2042.0|-200.0|1100.0|709.0
274|0,9|Summer|1011.0|864.0|0.8545994065281899|-200.0|65.0|809.0|79.0|1532.0|1231.0
275|3,0|Spring|-200.0|-200.0|1.0|-200.0|812.0|-200.0|235.0|-200.0|-200.0
276|-200|Summer|912.0|810.0|0.8881578947368421|-200.0|52.0|873.0|80.0|1511.0|861.0
277|1,2|Fall|886.0|608.0|0.6862302483069977|-200.0|-200.0|1013.0|-200.0|1143.0|611.0
278|1,8|Spring|1239.0|853.0|0.688458434221146|73.0|106.0|1010.0|93.0|1543.0|1174.0
279|0,5|Summer|784.0|641.0|0.8176020408163265|-200.0|-200.0|1114.0|-200.0|1319.0|588.0
280|-200|Fall|1506.0|1315.0|0.8731739707835325|-200.0|-200.0|512.0|-200.0|1954.0|1395.0
281|1,5|Fall|988.0|941.0|0.9524291497975709|-200.0|361.0|801.0|99.0|1399.0|1035.0
282|4,9|Winter|-200.0|-200.0|1.0|-200.0|641.0|-200.0|215.0|-200.0|-200.0
283|4,1|Fall|1236.0|1332.0|1.0776699029126213|-200.0|641.0|601.0|152.0|1683.0|1550.0
284|-200|Summer|1421.0|1354.0|0.9528501055594651|-200.0|279.0|545.0|194.0|2063.0|1854.0
285|1,1|Spring|956.0|783.0|0.8190376569037657|-200.0|142.0|857.0|100.0|896.0|516.0
286|1,3|Spring|969.0|968.0|0.9989680082559339|-200.0|115.0|1276.0|112.0|1325.0|768.0
287|4,4|Fall|1477.0|1471.0|0.995937711577522|-200.0|624.0|455.0|146.0|2031.0|1750.0
288|1,1|Fall|888.0|590.0|0.6644144144144144|-200.0|51.0|1009.0|41.0|1152.0|625.0
289|4|Spring|1584.0|1399.0|0.8832070707070707|664.0|244.0|642.0|130.0|1947.0|1675.0
290|2,2|Spring|1253.0|988.0|0.7885075818036712|-200.0|285.0|589.0|123.0|1292.0|1314.0
291|1,6|Spring|1176.0|880.0|0.7482993197278912|-200.0|318.0|634.0|127.0|1257.0|1180.0
292|2,2|Spring|1314.0|966.0|0.7351598173515982|107.0|228.0|897.0|89.0|1710.0|1235.0
293|2,5|Summer|1239.0|1127.0|0.9096045197740112|-200.0|134.0|648.0|120.0|1930.0|1201.0
294|-200|Fall|1778.0|1805.0|1.0151856017997751|-200.0|-200.0|380.0|-200.0|2473.0|2094.0
295|4,8|Winter|1387.0|1231.0|0.8875270367700072|-200.0|737.0|523.0|156.0|1487.0|1463.0
296|2,8|Summer|1172.0|1108.0|0.9453924914675768|-200.0|166.0|706.0|122.0|1878.0|1058.0
297|2,8|Spring|1283.0|1117.0|0.8706157443491817|-200.0|192.0|813.0|127.0|1751.0|1188.0
298|-200|Fall|1455.0|1468.0|1.00893470790378|-200.0|-200.0|474.0|-200.0|1945.0|1746.0
299|1,2|Summer|953.0|801.0|0.8405036726128017|-200.0|83.0|868.0|109.0|1573.0|657.0
300|1,8|Spring|1170.0|756.0|0.6461538461538462|-200.0|299.0|713.0|126.0|1341.0|793.0
301|0,7|Summer|908.0|632.0|0.6960352422907489|-200.0|35.0|1095.0|46.0|1494.0|500.0
302|3|Fall|1307.0|1236.0|0.9456771231828616|-200.0|397.0|649.0|137.0|1869.0|1356.0
303|2,7|Summer|1076.0|1080.0|1.003717472118959|-200.0|-200.0|846.0|-200.0|1787.0|1070.0
304|-200|Fall|924.0|643.0|0.6958874458874459|-200.0|-200.0|948.0|-200.0|1329.0|825.0
305|3,7|Spring|1382.0|1288.0|0.9319826338639653|588.0|185.0|778.0|138.0|1799.0|1212.0
306|1,5|Spring|1164.0|908.0|0.7800687285223368|-200.0|90.0|821.0|102.0|1574.0|1019.0
307|3,0|Winter|1311.0|1088.0|0.8299008390541571|-200.0|505.0|563.0|147.0|1402.0|1452.0
308|0,7|Spring|1066.0|512.0|0.4803001876172608|8.0|16.0|1918.0|28.0|1182.0|422.0
309|0,9|Winter|926.0|725.0|0.7829373650107991|-200.0|195.0|933.0|142.0|847.0|694.0
310|0,7|Summer|813.0|645.0|0.7933579335793358|-200.0|42.0|990.0|49.0|1530.0|802.0
311|1,1|Summer|902.0|813.0|0.9013303769401331|-200.0|56.0|875.0|64.0|1518.0|588.0
312|-200|Summer|994.0|947.0|0.9527162977867203|-200.0|-200.0|764.0|-200.0|1572.0|983.0
313|4,3|Spring|1522.0|1331.0|0.8745072273324573|368.0|280.0|703.0|134.0|2026.0|1734.0
314|5|Summer|1440.0|1556.0|1.0805555555555555|-200.0|310.0|517.0|142.0|2530.0|1561.0
315|1|Summer|-200.0|-200.0|1.0|-200.0|65.0|-200.0|67.0|-200.0|-200.0
316|6,5|Fall|1706.0|1641.0|0.9618991793669402|-200.0|1218.0|381.0|239.0|1778.0|2522.0
317|3,1|Fall|1312.0|1139.0|0.868140243902439|-200.0|550.0|565.0|164.0|1568.0|1386.0
318|1,4|Spring|1073.0|812.0|0.7567567567567568|134.0|112.0|988.0|65.0|1500.0|950.0
319|1,2|Fall|953.0|781.0|0.8195173137460651|-200.0|-200.0|889.0|-200.0|1356.0|641.0
320|2,7|Spring|1207.0|1098.0|0.9096934548467275|296.0|180.0|826.0|121.0|1664.0|1195.0
321|0,8|Spring|898.0|669.0|0.744988864142539|69.0|46.0|1163.0|52.0|1386.0|807.0
322|2,4|Winter|1195.0|915.0|0.7656903765690377|-200.0|376.0|666.0|152.0|1295.0|1245.0
323|0,8|Fall|857.0|705.0|0.822637106184364|-200.0|105.0|982.0|44.0|1312.0|733.0
324|1,3|Spring|966.0|737.0|0.7629399585921325|92.0|-200.0|1083.0|-200.0|1363.0|581.0
325|3,6|Winter|1424.0|1260.0|0.8848314606741573|-200.0|-200.0|494.0|-200.0|1568.0|1442.0
326|1,8|Spring|-200.0|-200.0|1.0|159.0|118.0|-200.0|97.0|-200.0|-200.0
327|-200|Spring|1631.0|1449.0|0.8884120171673819|-200.0|-200.0|570.0|-200.0|2299.0|1615.0
328|1,2|Summer|989.0|814.0|0.8230535894843276|-200.0|53.0|845.0|65.0|1657.0|680.0
329|1,5|Spring|1103.0|857.0|0.7769718948322756|-200.0|230.0|681.0|123.0|1182.0|946.0
330|-200|Fall|1121.0|965.0|0.8608385370205174|-200.0|-200.0|899.0|-200.0|1386.0|932.0
331|2,7|Spring|1281.0|1116.0|0.8711943793911007|337.0|149.0|809.0|121.0|1703.0|1080.0
332|0,6|Spring|934.0|552.0|0.5910064239828694|-200.0|70.0|966.0|57.0|1063.0|520.0
333|1,8|Fall|1143.0|890.0|0.778652668416448|-200.0|224.0|744.0|71.0|1578.0|848.0
334|-200|Spring|1365.0|1299.0|0.9516483516483516|-200.0|-200.0|637.0|-200.0|1999.0|1514.0
335|4,4|Spring|1460.0|1438.0|0.9849315068493151|682.0|260.0|680.0|196.0|1953.0|1489.0
336|4,2|Winter|-200.0|-200.0|1.0|-200.0|691.0|-200.0|144.0|-200.0|-200.0
337|1|Winter|988.0|774.0|0.7834008097165992|-200.0|206.0|842.0|89.0|1189.0|841.0
338|6,1|Winter|1438.0|1208.0|0.8400556328233658|-200.0|626.0|528.0|204.0|1405.0|1962.0
339|0,7|Spring|807.0|584.0|0.7236679058240396|50.0|41.0|1488.0|44.0|1104.0|347.0
340|4,3|Winter|1479.0|1196.0|0.8086544962812712|-200.0|683.0|498.0|188.0|1511.0|1739.0
341|-200|Summer|1216.0|1136.0|0.9342105263157895|-200.0|128.0|658.0|131.0|1737.0|1265.0
342|5,8|Fall|1521.0|1470.0|0.9664694280078896|-200.0|960.0|456.0|149.0|1857.0|1727.0
343|-200|Winter|1233.0|1144.0|0.9278183292781833|-200.0|-200.0|575.0|-200.0|1436.0|1271.0
344|0,4|Summer|760.0|626.0|0.8236842105263158|-200.0|22.0|1263.0|38.0|1386.0|575.0
345|0,5|Summer|919.0|723.0|0.7867247007616975|-200.0|-200.0|910.0|-200.0|1443.0|992.0
346|0,5|Summer|894.0|709.0|0.7930648769574944|-200.0|46.0|997.0|53.0|1432.0|853.0
347|0,8|Spring|807.0|623.0|0.7719950433705081|-200.0|157.0|1097.0|94.0|684.0|384.0
348|6,7|Fall|1747.0|1709.0|0.978248425872925|-200.0|515.0|399.0|128.0|2370.0|1876.0
349|0,9|Summer|1088.0|862.0|0.7922794117647058|-200.0|93.0|786.0|102.0|1519.0|1110.0
350|-200|Spring|997.0|769.0|0.7713139418254764|-200.0|-200.0|1002.0|-200.0|1524.0|868.0
351|0,7|Fall|729.0|639.0|0.8765432098765432|-200.0|174.0|1234.0|96.0|773.0|628.0
352|3,8|Fall|1284.0|1249.0|0.9727414330218068|-200.0|363.0|582.0|167.0|1842.0|1300.0
353|-200|Summer|1076.0|982.0|0.912639405204461|-200.0|96.0|799.0|123.0|1523.0|748.0
354|1,2|Spring|936.0|685.0|0.7318376068376068|-200.0|171.0|866.0|124.0|942.0|568.0
355|1,5|Spring|1016.0|839.0|0.8257874015748031|110.0|119.0|991.0|97.0|1448.0|790.0
356|1,1|Winter|888.0|652.0|0.7342342342342343|-200.0|150.0|1025.0|96.0|833.0|547.0
357|-200|Fall|968.0|730.0|0.7541322314049587|-200.0|-200.0|858.0|-200.0|1388.0|913.0
358|2,1|Fall|1152.0|966.0|0.8385416666666666|-200.0|266.0|661.0|84.0|1542.0|1137.0
359|4,4|Winter|1326.0|1223.0|0.9223227752639518|-200.0|854.0|547.0|190.0|1381.0|1613.0
360|-200|Fall|1531.0|1558.0|1.0176355323318094|-200.0|-200.0|451.0|-200.0|2181.0|1620.0
361|0,3|Summer|796.0|628.0|0.7889447236180904|-200.0|29.0|1136.0|36.0|1385.0|555.0
362|4,6|Fall|1446.0|1434.0|0.991701244813278|-200.0|442.0|522.0|190.0|2075.0|1619.0
363|1,3|Winter|969.0|733.0|0.7564499484004128|-200.0|176.0|901.0|72.0|1191.0|803.0
364|0,7|Summer|900.0|750.0|0.8333333333333334|-200.0|-200.0|932.0|-200.0|1494.0|817.0
365|-200|Fall|1319.0|1165.0|0.8832448824867324|-200.0|-200.0|571.0|-200.0|1743.0|1230.0
366|0,7|Fall|867.0|618.0|0.71280276816609|-200.0|-200.0|1042.0|-200.0|1231.0|488.0
367|1,3|Fall|952.0|833.0|0.875|-200.0|143.0|846.0|57.0|1381.0|881.0
368|0,9|Fall|819.0|655.0|0.7997557997557998|-200.0|103.0|1222.0|47.0|1104.0|507.0
369|-200|Summer|887.0|754.0|0.8500563697857948|-200.0|32.0|1164.0|30.0|1523.0|560.0
370|0,4|Winter|937.0|640.0|0.6830309498399146|-200.0|194.0|923.0|130.0|870.0|1010.0
371|0,8|Summer|914.0|726.0|0.7943107221006565|-200.0|44.0|959.0|51.0|1496.0|534.0
372|0,6|Winter|832.0|530.0|0.6370192307692307|-200.0|112.0|1346.0|63.0|1027.0|512.0
373|3|Spring|1160.0|1189.0|1.025|-200.0|167.0|698.0|122.0|1824.0|1151.0
374|1,2|Spring|871.0|848.0|0.9735935706084959|-200.0|100.0|1139.0|83.0|1208.0|579.0
375|1,9|Fall|1086.0|1070.0|0.9852670349907919|-200.0|276.0|907.0|135.0|1423.0|924.0
376|-200|Winter|-200.0|-200.0|1.0|-200.0|286.0|-200.0|121.0|-200.0|-200.0
377|1,2|Spring|1025.0|682.0|0.6653658536585366|67.0|88.0|1197.0|77.0|1313.0|537.0
378|0,8|Summer|901.0|646.0|0.7169811320754716|-200.0|37.0|1105.0|50.0|1446.0|488.0
379|-200|Spring|1022.0|914.0|0.8943248532289628|-200.0|-200.0|1132.0|-200.0|1446.0|847.0
380|-200|Spring|803.0|531.0|0.6612702366127023|-200.0|-200.0|1462.0|-200.0|1318.0|489.0
381|1,9|Fall|1055.0|1037.0|0.9829383886255925|-200.0|225.0|635.0|125.0|1632.0|1161.0
382|1,5|Winter|882.0|826.0|0.9365079365079365|-200.0|280.0|952.0|125.0|910.0|799.0
383|0,7|Spring|902.0|568.0|0.6297117516629712|38.0|38.0|1450.0|54.0|1253.0|479.0
384|1,7|Fall|996.0|992.0|0.9959839357429718|-200.0|189.0|722.0|93.0|1580.0|727.0
385|1,9|Fall|1166.0|1007.0|0.8636363636363636|-200.0|289.0|775.0|117.0|1391.0|1227.0
386|5,4|Spring|1763.0|1617.0|0.9171866137266024|-200.0|253.0|489.0|146.0|2503.0|1835.0
387|0,5|Summer|836.0|643.0|0.7691387559808612|-200.0|-200.0|1114.0|-200.0|1405.0|522.0
388|1,2|Winter|907.0|705.0|0.7772877618522602|-200.0|199.0|995.0|130.0|880.0|767.0
389|4,5|Spring|1657.0|1384.0|0.8352444176222088|523.0|352.0|579.0|109.0|2176.0|1600.0
390|0,6|Summer|833.0|641.0|0.7695078031212484|-200.0|30.0|1088.0|44.0|1496.0|717.0
391|-200|Summer|1367.0|1342.0|0.9817117776152158|-200.0|308.0|567.0|193.0|2002.0|1758.0
392|5,5|Winter|1582.0|1455.0|0.9197218710493047|-200.0|875.0|423.0|216.0|1725.0|1813.0
393|7,7|Winter|1707.0|1721.0|1.0082015231400117|-200.0|1001.0|375.0|171.0|2260.0|1940.0
394|0,5|Spring|758.0|546.0|0.7203166226912929|-200.0|27.0|1483.0|33.0|1252.0|396.0
395|2,3|Summer|1132.0|1166.0|1.030035335689046|-200.0|168.0|652.0|108.0|1827.0|1229.0
396|1,6|Summer|1089.0|893.0|0.820018365472911|-200.0|90.0|879.0|110.0|1609.0|791.0
397|2,3|Summer|908.0|1031.0|1.1354625550660793|-200.0|187.0|857.0|112.0|1469.0|901.0
398|2,4|Spring|-200.0|-200.0|1.0|226.0|190.0|-200.0|119.0|-200.0|-200.0
399|-200,0|Winter|849.0|552.0|0.6501766784452296|-200.0|93.0|1165.0|77.0|812.0|737.0
400|7,4|Winter|-200.0|-200.0|1.0|-200.0|1037.0|-200.0|208.0|-200.0|-200.0
401|0,9|Summer|965.0|818.0|0.8476683937823835|-200.0|35.0|844.0|47.0|1681.0|777.0
402|2,4|Spring|1202.0|1052.0|0.8752079866888519|-200.0|296.0|519.0|134.0|1525.0|1126.0
403|3,5|Summer|1217.0|1227.0|1.0082169268693508|-200.0|224.0|641.0|158.0|2040.0|1404.0
404|1,4|Winter|1019.0|730.0|0.7163886162904809|-200.0|188.0|811.0|143.0|1082.0|916.0
405|0,6|Summer|821.0|614.0|0.7478684531059683|-200.0|45.0|1309.0|49.0|1350.0|430.0
406|-200|Summer|1062.0|829.0|0.78060263653484|-200.0|-200.0|714.0|-200.0|1592.0|846.0
407|1,7|Fall|1008.0|845.0|0.8382936507936508|-200.0|-200.0|832.0|-200.0|1349.0|856.0
408|4,1|Winter|-200.0|-200.0|1.0|-200.0|854.0|-200.0|137.0|-200.0|-200.0
409|2,3|Summer|1048.0|1070.0|1.0209923664122138|-200.0|111.0|807.0|106.0|1737.0|842.0
410|0,7|Spring|947.0|594.0|0.6272439281942978|-200.0|24.0|1300.0|36.0|1390.0|580.0
411|5,7|Spring|1515.0|1295.0|0.8547854785478548|-200.0|754.0|435.0|233.0|1615.0|1871.0
412|-200|Fall|1496.0|1425.0|0.9525401069518716|-200.0|-200.0|520.0|-200.0|1946.0|1605.0
413|2,4|Summer|1199.0|1124.0|0.9374478732276897|-200.0|159.0|680.0|132.0|1940.0|1054.0
414|5|Fall|1424.0|1486.0|1.0435393258426966|-200.0|506.0|523.0|218.0|2084.0|1537.0
415|2|Fall|1093.0|1076.0|0.9844464775846294|-200.0|353.0|871.0|131.0|1457.0|1125.0
416|6,3|Spring|1618.0|1530.0|0.9456118665018541|974.0|326.0|579.0|171.0|2167.0|1791.0
417|2,7|Summer|1244.0|1265.0|1.0168810289389068|-200.0|176.0|640.0|95.0|2084.0|1257.0
418|3,6|Winter|1396.0|1196.0|0.8567335243553008|-200.0|713.0|524.0|175.0|1492.0|1653.0
419|-200|Fall|1516.0|1596.0|1.0527704485488127|-200.0|-200.0|429.0|-200.0|2183.0|1706.0
420|1,5|Spring|979.0|910.0|0.9295199182839632|-200.0|123.0|1028.0|92.0|1396.0|788.0
421|0,8|Winter|931.0|591.0|0.6348012889366272|-200.0|102.0|1015.0|89.0|1015.0|704.0
422|2,9|Fall|1212.0|1191.0|0.9826732673267327|-200.0|455.0|551.0|97.0|1586.0|1210.0
423|4,9|Winter|1479.0|1465.0|0.9905341446923597|-200.0|712.0|471.0|131.0|2018.0|1572.0
424|-200|Spring|1224.0|1270.0|1.0375816993464053|-200.0|-200.0|806.0|-200.0|1739.0|1113.0
425|2,8|Fall|1184.0|1157.0|0.9771959459459459|-200.0|338.0|586.0|94.0|1685.0|1273.0
426|2,1|Winter|926.0|882.0|0.9524838012958964|-200.0|142.0|744.0|111.0|913.0|700.0
427|1,3|Spring|962.0|776.0|0.8066528066528067|81.0|89.0|1152.0|75.0|1279.0|550.0
428|3,3|Winter|-200.0|-200.0|1.0|-200.0|608.0|-200.0|196.0|-200.0|-200.0
429|1,8|Summer|1063.0|991.0|0.9322671683913453|-200.0|200.0|655.0|104.0|1672.0|966.0
430|0,5|Summer|833.0|708.0|0.8499399759903962|-200.0|54.0|1084.0|58.0|1525.0|799.0
431|0,9|Fall|863.0|678.0|0.7856315179606026|-200.0|-200.0|1153.0|-200.0|1139.0|434.0
432|5,5|Spring|1693.0|1439.0|0.8499704666272888|787.0|271.0|618.0|168.0|2083.0|1723.0
433|2,0|Winter|1242.0|921.0|0.7415458937198067|-200.0|-200.0|626.0|-200.0|1219.0|1374.0
434|1,9|Spring|1222.0|924.0|0.7561374795417348|-200.0|279.0|612.0|121.0|1216.0|1147.0
435|1,6|Spring|1151.0|885.0|0.7688966116420504|-200.0|240.0|660.0|128.0|1222.0|903.0
436|2,7|Fall|1103.0|1143.0|1.0362647325475975|-200.0|310.0|741.0|116.0|1647.0|1089.0
437|1,6|Winter|-200.0|-200.0|1.0|-200.0|-200.0|-200.0|-200.0|-200.0|-200.0
438|-200|Fall|949.0|754.0|0.7945205479452054|-200.0|-200.0|884.0|-200.0|1393.0|759.0
439|1,9|Winter|956.0|796.0|0.8326359832635983|-200.0|248.0|915.0|132.0|861.0|1084.0
440|-200|Winter|919.0|652.0|0.7094668117519043|-200.0|-200.0|953.0|-200.0|1045.0|712.0
441|-200|Fall|1053.0|913.0|0.8670465337132004|-200.0|-200.0|824.0|-200.0|1578.0|1033.0
442|0,4|Summer|796.0|636.0|0.7989949748743719|-200.0|30.0|1092.0|40.0|1387.0|576.0
443|2,9|Fall|1103.0|997.0|0.9038984587488668|-200.0|293.0|736.0|109.0|1552.0|914.0
444|-200|Summer|956.0|1007.0|1.0533472803347281|-200.0|106.0|838.0|111.0|1464.0|730.0
445|2,7|Winter|1458.0|1024.0|0.7023319615912208|-200.0|-200.0|530.0|-200.0|1413.0|1571.0
446|4,6|Summer|1357.0|1445.0|1.0648489314664702|-200.0|295.0|620.0|206.0|2195.0|1622.0
447|2,3|Winter|-200.0|-200.0|1.0|-200.0|288.0|-200.0|135.0|-200.0|-200.0
448|7,2|Fall|1521.0|1430.0|0.9401709401709402|-200.0|691.0|449.0|187.0|1907.0|1761.0
449|3,2|Winter|1586.0|1084.0|0.6834804539722572|-200.0|492.0|495.0|158.0|1473.0|1619.0
450|0,8|Spring|869.0|642.0|0.7387802071346375|68.0|69.0|1291.0|62.0|1288.0|723.0
451|3,1|Spring|1390.0|1100.0|0.7913669064748201|386.0|195.0|755.0|119.0|1799.0|1192.0
452|3,1|Spring|1329.0|1090.0|0.8201655379984951|-200.0|562.0|508.0|181.0|1401.0|1473.0
453|2,1|Fall|1273.0|946.0|0.7431264728986646|-200.0|439.0|729.0|110.0|1349.0|1217.0
454|-200|Spring|982.0|724.0|0.7372708757637475|-200.0|-200.0|1055.0|-200.0|1508.0|774.0
455|3,2|Winter|1202.0|1083.0|0.9009983361064892|-200.0|629.0|1376.0|143.0|1410.0|1340.0
456|1,1|Spring|922.0|674.0|0.7310195227765727|65.0|63.0|1220.0|78.0|1205.0|498.0
457|3,5|Spring|1484.0|1127.0|0.7594339622641509|215.0|253.0|839.0|139.0|1723.0|1491.0
458|3,9|Spring|1378.0|1342.0|0.9738751814223512|-200.0|204.0|612.0|133.0|2076.0|1489.0
459|2,5|Winter|1195.0|992.0|0.8301255230125523|-200.0|387.0|632.0|141.0|1251.0|1295.0
460|2,2|Winter|1068.0|896.0|0.8389513108614233|-200.0|339.0|702.0|222.0|1177.0|848.0
461|0,6|Fall|738.0|529.0|0.7168021680216802|-200.0|100.0|1991.0|59.0|876.0|383.0
462|1,1|Summer|-200.0|-200.0|1.0|-200.0|92.0|-200.0|52.0|-200.0|-200.0
463|1,3|Summer|865.0|773.0|0.8936416184971099|-200.0|93.0|991.0|85.0|1414.0|653.0
464|2,1|Fall|1032.0|1039.0|1.0067829457364341|-200.0|231.0|761.0|118.0|1455.0|1071.0
465|2,7|Summer|1214.0|1151.0|0.9481054365733114|-200.0|144.0|683.0|117.0|1938.0|1309.0
466|1,1|Summer|971.0|790.0|0.8135942327497425|-200.0|46.0|871.0|64.0|1447.0|875.0
467|0,7|Winter|858.0|597.0|0.6958041958041958|-200.0|141.0|1054.0|104.0|857.0|690.0
468|2,3|Fall|1172.0|1145.0|0.976962457337884|-200.0|275.0|735.0|128.0|1676.0|1049.0
469|2,2|Summer|1056.0|1127.0|1.0672348484848484|-200.0|163.0|734.0|152.0|1694.0|928.0
470|0,9|Summer|918.0|810.0|0.8823529411764706|-200.0|87.0|936.0|78.0|1524.0|939.0
471|-200|Spring|899.0|591.0|0.657397107897664|-200.0|-200.0|1243.0|-200.0|1259.0|815.0
472|0,5|Winter|919.0|552.0|0.6006528835690969|-200.0|55.0|1063.0|46.0|1080.0|522.0
473|1,6|Winter|1059.0|810.0|0.7648725212464589|-200.0|227.0|764.0|126.0|1200.0|1002.0
474|0,9|Spring|883.0|705.0|0.79841449603624|-200.0|51.0|1133.0|65.0|1422.0|655.0
475|-200|Spring|1028.0|961.0|0.9348249027237354|-200.0|-200.0|913.0|-200.0|1502.0|649.0
476|2,1|Spring|1102.0|912.0|0.8275862068965517|-200.0|215.0|647.0|136.0|1287.0|872.0
477|2,3|Spring|1171.0|993.0|0.8479931682322801|-200.0|290.0|597.0|160.0|1208.0|841.0
478|-200|Spring|1304.0|1291.0|0.9900306748466258|-200.0|-200.0|765.0|-200.0|1838.0|1219.0
479|1,2|Spring|1031.0|652.0|0.6323957322987391|-200.0|173.0|803.0|101.0|1256.0|775.0
480|1,0|Winter|921.0|594.0|0.6449511400651465|-200.0|100.0|1025.0|82.0|867.0|479.0
481|1,1|Winter|903.0|696.0|0.770764119601329|-200.0|180.0|932.0|129.0|850.0|629.0
482|0,9|Summer|815.0|720.0|0.8834355828220859|-200.0|56.0|1225.0|59.0|1418.0|525.0
483|-200|Spring|753.0|437.0|0.5803452855245684|-200.0|14.0|1904.0|19.0|1110.0|301.0
484|1,2|Summer|886.0|767.0|0.8656884875846501|-200.0|68.0|1055.0|79.0|1532.0|702.0
485|3,8|Fall|1453.0|1190.0|0.8189951823812801|-200.0|637.0|583.0|121.0|1644.0|1358.0
486|4,8|Summer|1501.0|1501.0|1.0|-200.0|248.0|588.0|101.0|2486.0|1517.0
487|0,3|Fall|771.0|490.0|0.6355382619974059|-200.0|48.0|1419.0|39.0|990.0|411.0
488|3,3|Spring|1590.0|1219.0|0.7666666666666667|-200.0|602.0|410.0|147.0|1677.0|1830.0
489|5,9|Spring|1419.0|1408.0|0.9922480620155039|-200.0|764.0|466.0|246.0|1531.0|1899.0
490|5,6|Fall|1375.0|1247.0|0.9069090909090909|-200.0|583.0|531.0|221.0|1650.0|1375.0
491|-200|Spring|1491.0|1335.0|0.8953722334004024|-200.0|-200.0|625.0|-200.0|2001.0|1522.0
492|0,6|Fall|803.0|648.0|0.8069738480697385|-200.0|-200.0|1079.0|-200.0|1178.0|774.0
493|2,4|Fall|1305.0|1167.0|0.8942528735632184|-200.0|297.0|586.0|98.0|1690.0|1301.0
494|-200|Spring|1059.0|1027.0|0.9697828139754485|-200.0|-200.0|1066.0|-200.0|1521.0|764.0
495|2,3|Winter|1089.0|916.0|0.8411386593204775|-200.0|293.0|710.0|152.0|1124.0|903.0
496|1,6|Summer|1049.0|839.0|0.7998093422306959|-200.0|103.0|846.0|110.0|1636.0|858.0
497|0,9|Fall|864.0|651.0|0.7534722222222222|-200.0|-200.0|1096.0|-200.0|1193.0|443.0
498|4,5|Fall|1565.0|1405.0|0.8977635782747604|-200.0|920.0|488.0|139.0|1830.0|1696.0
499|2,4|Spring|1142.0|1063.0|0.9308231173380035|-200.0|293.0|603.0|175.0|1241.0|1092.0
500|-200,0|Winter|1095.0|857.0|0.782648401826484|-200.0|281.0|756.0|180.0|1075.0|1020.0
501|0,8|Spring|977.0|605.0|0.6192425793244627|-200.0|102.0|852.0|68.0|1212.0|841.0
502|2,2|Winter|1039.0|880.0|0.8469682386910491|-200.0|273.0|1198.0|113.0|1251.0|933.0
503|-200|Spring|807.0|571.0|0.7075588599752168|-200.0|46.0|1305.0|53.0|1335.0|704.0
504|-200|Fall|1084.0|816.0|0.7527675276752768|-200.0|226.0|776.0|94.0|1165.0|1126.0
505|-200|Spring|846.0|598.0|0.706855791962175|-200.0|33.0|1211.0|52.0|1332.0|669.0
506|1,5|Spring|1009.0|885.0|0.8771060455896927|141.0|112.0|994.0|87.0|1439.0|751.0
